code,title,level,category,jobs_x1000,median_hourly_wage,annual_wage_est,isco_skill_level
01,Pedagogische beroepen,2,Pedagogische beroepen,721,27.1,50731,4
011,Docenten,3,Pedagogische beroepen,479,32.6,61027,4
0111,Docenten hoger onderwijs en hoog...,4,Pedagogische beroepen,72,35.9,67205,4
0112,Docenten beroepsgerichte vakken ...,4,Pedagogische beroepen,39,30.2,56534,4
0113,Docenten algemene vakken secunda...,4,Pedagogische beroepen,122,33.1,61963,4
0114,Leerkrachten basisonderwijs,4,Pedagogische beroepen,147,31.4,58781,4
0115,Onderwijskundigen en overige doc...,4,Pedagogische beroepen,99,32.6,61027,4
012,Sportinstructeurs,3,Pedagogische beroepen,56,17.0,31824,4
0121,Beroepsgroep sportinstructeurs,4,Pedagogische beroepen,56,17.0,31824,4
013,Leidsters kinderopvang en onderwi.,3,Pedagogische beroepen,186,20.6,38563,4
0131,Leidsters kinderopvang en onderw...,4,Pedagogische beroepen,186,20.6,38563,4
02,Creatieve en taalkundige beroepen,2,Creatieve en taalkundige beroepen,244,25.1,46987,3
021,Auteurs en kunstenaars,3,Creatieve en taalkundige beroepen,139,27.6,51667,3
0211,Bibliothecarissen en conservatoren,4,Creatieve en taalkundige beroepen,8,27.6,51667,3
0212,Auteurs en taalkundigen,4,Creatieve en taalkundige beroepen,36,27.6,51667,3
0213,Journalisten,4,Creatieve en taalkundige beroepen,25,27.6,51667,3
0214,Beeldend kunstenaars,4,Creatieve en taalkundige beroepen,15,27.6,51667,3
0215,Uitvoerend kunstenaars,4,Creatieve en taalkundige beroepen,54,27.6,51667,3
022,Vakspecialisten op artistiek en c.,3,Creatieve en taalkundige beroepen,105,23.0,43056,3
0221,Grafisch vormgevers en producton...,4,Creatieve en taalkundige beroepen,75,23.9,44741,3
0222,Fotografen en interieurontwerpers,4,Creatieve en taalkundige beroepen,30,23.0,43056,3
03,Commerciële beroepen,2,Commerciële beroepen,1081,18.3,34258,3
031,"Adviseurs marketing, public relat.",3,Commerciële beroepen,237,29.3,54850,3
0311,"Adviseurs marketing, public rela...",4,Commerciële beroepen,237,29.3,54850,3
032,Vertegenwoordigers en inkopers,3,Commerciële beroepen,191,29.0,54288,3
0321,Vertegenwoordigers en inkopers,4,Commerciële beroepen,191,29.0,54288,3
033,Verkopers,3,Commerciële beroepen,652,15.2,28454,3
0331,Winkeliers en teamleiders detail...,4,Commerciële beroepen,133,18.0,33696,3
